data,hora,irradiacao,pm1_massa,pm2_massa,pm4_massa,pm10_massa,pm1_concentracao,pm2_concentracao,pm4_concentracao,pm10_concentracao,concentracao_media,temperatura,vento_dir,vento_vel
24/10/2019,00:01,0,2.01,0.07,0,0,16.59,0.05,0,0,0.44,22.94,0,0
24/10/2019,00:02,0,2.26,0.08,0,0,18.66,0.05,0,0,0.45,23,90,0
24/10/2019,00:03,0,1.7,0.06,0,0,14.03,0.04,0,0,0.45,23,45,0
24/10/2019,00:04,0,1.98,0.07,0,0,16.36,0.04,0,0,0.45,22.88,45,0
24/10/2019,00:05,0,2.07,0.07,0,0,17.08,0.05,0,0,0.46,22.94,135,0
24/10/2019,00:06,0,1.86,0.06,0,0,15.33,0.04,0,0,0.45,23.06,90,0
24/10/2019,00:07,0,2.21,0.07,0,0,18.26,0.05,0,0,0.46,22.81,135,0
24/10/2019,00:08,0,1.79,0.06,0,0,14.74,0.04,0,0,0.45,22.75,90,0
24/10/2019,00:09,0,1.81,0.06,0,0,14.91,0.04,0,0,0.43,22.69,45,0
24/10/2019,00:10,0,2,0.07,0,0,16.52,0.05,0,0,0.43,22.69,45,0
24/10/2019,00:11,0,2.18,0.07,0,0,17.98,0.05,0,0,0.43,22.75,45,0
24/10/2019,00:12,0,2.14,0.07,0,0,17.64,0.05,0,0,0.42,22.69,90,0
24/10/2019,00:13,0,2.37,0.08,0,0,19.52,0.05,0,0,0.45,22.81,0,0
24/10/2019,00:14,0,1.96,0.07,0,0,16.18,0.04,0,0,0.45,22.88,0,0
24/10/2019,00:15,0,1.87,0.06,0,0,15.4,0.04,0,0,0.46,23.12,45,0
24/10/2019,00:16,0,2.21,0.07,0,0,18.21,0.05,0,0,0.46,22.94,45,0
24/10/2019,00:17,0,1.81,0.06,0,0,14.97,0.04,0,0,0.45,23,90,0
24/10/2019,00:18,0,2.37,0.08,0,0,19.59,0.05,0,0,0.43,22.94,45,0
24/10/2019,00:19,0,2.07,0.07,0,0,17.04,0.05,0,0,0.43,22.88,0,0
24/10/2019,00:20,0,1.97,0.07,0,0,16.23,0.04,0,0,0.42,22.88,45,0
24/10/2019,00:21,0,2.03,0.07,0,0,16.71,0.05,0,0,0.43,22.75,45,0
24/10/2019,00:22,0,2.2,0.07,0,0,18.14,0.05,0,0,0.43,22.75,45,0
24/10/2019,00:23,0,2.33,0.08,0,0,19.25,0.05,0,0,0.45,22.62,135,0
24/10/2019,00:24,0,2.2,0.07,0,0,18.18,0.05,0,0,0.47,22.56,45,0
24/10/2019,00:25,0,1.98,0.07,0,0,16.31,0.04,0,0,0.45,22.75,45,0
24/10/2019,00:26,0,2.46,0.08,0,0,20.28,0.06,0,0,0.45,22.5,45,0
24/10/2019,00:27,0,2.07,0.07,0,0,17.06,0.05,0,0,0.45,22.56,45,0
24/10/2019,00:28,0,2.11,0.07,0,0,17.38,0.05,0,0,0.46,22.81,45,0
24/10/2019,00:29,0,2.23,0.07,0,0,18.39,0.05,0,0,0.45,22.62,0,0
24/10/2019,00:30,0,1.99,0.07,0,0,16.44,0.05,0,0,0.45,22.62,0,0
24/10/2019,00:31,0,2.25,0.07,0,0,18.52,0.05,0,0,0.46,22.56,45,0
24/10/2019,00:32,0,2.25,0.07,0,0,18.52,0.05,0,0,0.46,22.62,0,0
24/10/2019,00:33,0,2.23,0.07,0,0,18.36,0.05,0,0,0.46,22.75,45,0
24/10/2019,00:34,0,2.1,0.07,0,0,17.36,0.05,0,0,0.45,22.56,45,0
24/10/2019,00:35,0,1.96,0.07,0,0,16.18,0.04,0,0,0.44,22.56,45,0
24/10/2019,00:36,0,1.87,0.06,0,0,15.44,0.04,0,0,0.45,22.5,90,0
24/10/2019,00:37,0,1.92,0.06,0,0,15.86,0.04,0,0,0.44,22.62,45,0
24/10/2019,00:38,0,2.03,0.07,0,0,16.78,0.05,0,0,0.44,22.81,90,0
24/10/2019,00:39,0,1.84,0.06,0,0,15.15,0.04,0,0,0.43,22.88,45,0
24/10/2019,00:40,0,1.92,0.06,0,0,15.82,0.04,0,0,0.43,22.69,90,0
24/10/2019,00:41,0,2.35,0.08,0,0,19.39,0.05,0,0,0.44,22.62,0,0
24/10/2019,00:42,0,1.79,0.06,0,0,14.79,0.04,0,0,0.45,22.75,45,0
24/10/2019,00:43,0,1.96,0.07,0,0,16.16,0.04,0,0,0.46,22.69,0,0
24/10/2019,00:44,0,2.01,0.07,0,0,16.58,0.05,0,0,0.46,22.69,45,0
24/10/2019,00:45,0,2.07,0.07,0,0,17.09,0.05,0,0,0.44,22.81,90,0
24/10/2019,00:46,0,2.12,0.07,0,0,17.52,0.05,0,0,0.43,22.56,45,0
24/10/2019,00:47,0,2.02,0.07,0,0,16.66,0.05,0,0,0.42,22.62,45,0
24/10/2019,00:48,0,1.87,0.06,0,0,15.41,0.04,0,0,0.42,22.75,45,0
24/10/2019,00:49,0,1.7,0.06,0,0,14.04,0.04,0,0,0.44,22.38,90,0
24/10/2019,00:50,0,1.85,0.06,0,0,15.29,0.04,0,0,0.44,22.38,45,0
24/10/2019,00:51,0,1.93,0.06,0,0,15.95,0.04,0,0,0.42,22.81,90,0
24/10/2019,00:52,0,1.81,0.06,0,0,14.96,0.04,0,0,0.42,22.69,135,0
24/10/2019,00:53,0,1.8,0.06,0,0,14.88,0.04,0,0,0.42,22.69,45,0
24/10/2019,00:54,0,1.89,0.06,0,0,15.56,0.04,0,0,0.42,22.88,45,0
24/10/2019,00:55,0,1.76,0.06,0,0,14.5,0.04,0,0,0.43,22.62,45,0
24/10/2019,00:56,0,2.23,0.07,0,0,18.38,0.05,0,0,0.43,22.81,45,0
24/10/2019,00:57,0,1.73,0.06,0,0,14.27,0.04,0,0,0.45,22.44,90,0
24/10/2019,00:58,0,1.94,0.06,0,0,16,0.04,0,0,0.45,22.69,45,0
24/10/2019,00:59,0,2.11,0.07,0,0,17.39,0.05,0,0,0.45,22.25,45,0
24/10/2019,01:00,0,2.23,0.07,0,0,18.39,0.05,0,0,0.44,22.62,135,0
24/10/2019,01:01,0,2.26,0.08,0,0,18.62,0.05,0,0,0.44,22.69,90,0
24/10/2019,01:02,0,1.92,0.06,0,0,15.85,0.04,0,0,0.43,22.56,45,0
24/10/2019,01:03,0,2.35,0.08,0,0,19.36,0.05,0,0,0.44,22.62,45,0
24/10/2019,01:04,0,2.08,0.07,0,0,17.15,0.05,0,0,0.45,22.38,135,0
24/10/2019,01:05,0,1.91,0.06,0,0,15.78,0.04,0,0,0.45,22.19,90,0
24/10/2019,01:06,0,2.07,0.07,0,0,17.1,0.05,0,0,0.44,22.25,45,0
24/10/2019,01:07,0,1.86,0.06,0,0,15.34,0.04,0,0,0.44,22.25,45,0
24/10/2019,01:08,0,2.17,0.07,0,0,17.9,0.05,0,0,0.45,22.5,45,0
24/10/2019,01:09,0,2,0.07,0,0,16.52,0.05,0,0,0.46,22.44,90,0
24/10/2019,01:10,0,2.08,0.07,0,0,17.14,0.05,0,0,0.44,22.25,90,0
24/10/2019,01:11,0,2.07,0.07,0,0,17.11,0.05,0,0,0.45,22.06,90,0
