dia_mes_ano,hora_minuto,irr_est,irr_inv,I_AC,V_AC,P_AC,I_DC,V_DC,P_DC,massaPM1,numPM1,massaPM2,numPM2,massaPM4,numPM4,massaPM10,numPM10,tamanho_medio,temp,vento_vel,vento_dir,rainfall
20191128,000000,0.02,0,0.09,213.8,0,0,43.98,0,1.46,12.08,0.05,0.03,0,0,0,0,0.45,21.02,0,102.97,2.75
20191128,010000,0.05,0,0,0,0,0,0,0,1.69,13.91,0.06,0.04,0,0,0,0,0.47,18.23,0,78.36,5.25
20191128,020000,0.05,0,0,0,0,0,0,0,1.49,12.27,0.05,0.03,0,0,0,0,0.47,20.51,0.49,90.75,2.75
20191128,030000,0.02,0,0,0,0,0,0,0,0.54,4.42,0.02,0.01,0,0,0,0,0.46,20.6,0.07,74.25,4
20191128,040000,0.07,6.5,0.12,217.85,16.83,0.1,463.4,45.64,0.63,5.21,0.02,0.01,0,0,0,0,0.48,20.66,0.02,47.29,4.75
20191128,050000,29.51,42.7,1.58,216.44,338.22,0.69,522.21,367.17,0.8,6.64,0.03,0.02,0,0,0,0,0.45,20.97,0.02,78.75,3.5
20191128,060000,180.36,184.95,7.74,216.17,1678.62,3.04,559.5,1706.17,0.61,5.07,0.02,0.01,0,0,0,0,0.47,22.47,0.35,49.5,8.5
20191128,070000,114.25,128.33,5.34,212.76,1136.62,2.12,546.84,1164.55,0.52,4.26,0.02,0.01,0,0,0,0,0.47,23.21,0.11,64.07,8.75
20191128,080000,104.31,120.63,5.11,211.2,1078.22,1.99,552.28,1104.82,0.77,6.33,0.03,0.02,0,0,0,0,0.45,23.07,0,60,5.25
20191128,090000,190.67,216.85,9.13,213.94,1956.67,3.58,554.36,1993,2.05,16.92,0.07,0.05,0,0,0,0,0.44,24.42,0,121.5,7.5
20191128,100000,432.88,459.42,19.06,217.64,4152.47,7.66,548.79,4205.27,2.79,23.01,0.09,0.06,0,0,0,0,0.43,26.63,1.55,147,12
20191128,110000,486.59,501.4,19.99,218.94,4383.65,8.18,542.47,4447.52,2.68,22.15,0.09,0.06,0,0,0,0,0.43,28.13,1.22,119.25,15.5
20191128,120000,830.61,829.45,28.65,220.28,6376.42,11.94,536.09,6443.81,1.63,13.43,0.05,0.04,0,0,0,0,0.42,30.14,6.32,146.84,2.25
20191128,130000,556.29,551.18,19.65,217.51,4301.3,7.98,543.28,4369,1.45,11.99,0.05,0.03,0,0,0,0,0.42,29.86,6.92,120.67,5
20191128,140000,713.34,713.87,27.13,218.93,5948.65,11.14,540.43,6038.97,1.16,9.53,0.04,0.03,0,0,0,0,0.44,29.21,10.24,128,8.25
20191128,150000,490.18,443.77,16.89,216.15,3663.2,7.29,509.44,3725.11,0.82,6.8,0.03,0.02,0,0,0,0,0.41,29.8,8.11,90.92,9
20191128,160000,272.44,229.57,6.78,214.12,1452.13,2.66,555.59,1476.16,0.76,6.23,0.02,0.02,0,0,0,0,0.42,29.96,3.77,169.67,11.25
20191128,170000,84.67,63.73,2.17,215.84,462.53,0.89,522.54,489.92,1.08,8.9,0.04,0.02,0,0,0,0,0.43,25.68,3.17,181.08,14.5
20191128,180000,0,0.02,0.09,214.41,0,0,175.54,1.11,1.43,11.77,0.05,0.03,0,0,0,0,0.44,26.01,0.24,212.17,19.75
20191128,190000,0,0,0.09,214.4,0,0,40.24,0,1.93,15.91,0.06,0.04,0,0,0,0,0.44,25.02,1.09,202.5,23
20191128,200000,0,0,0.09,214.4,0,0,40.97,0,1.63,13.43,0.05,0.04,0,0,0,0,0.46,23.21,0,160.5,24.25
20191128,210000,0,0,0.09,214.4,0,0,41.87,0,2.71,22.34,0.09,0.06,0,0,0,0,0.46,23.04,0,78.56,25.5
20191128,220000,0.04,0,0.09,214.4,0,0,41.64,0,3.23,26.64,0.11,0.07,0,0,0,0,0.46,22.85,0,161.69,0.5
20191128,230000,0,0,0.09,214.4,0,0,42.62,0,3.84,31.67,0.13,0.09,0,0,0,0,0.46,22.69,0,124.5,1.25
