dia_mes_ano,hora_minuto,irr_est,irr_inv,I_AC,V_AC,P_AC,I_DC,V_DC,P_DC,massaPM1,numPM1,massaPM2,numPM2,massaPM4,numPM4,massaPM10,numPM10,tamanho_medio,temp,vento_vel,vento_dir,rainfall
20191202,000000,0,0,0.1,213.6,0,0,40.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20191202,045000,0,9.3,0.23,218.48,44.5,0.15,478.28,72.97,0,0,0,0,0,0,0,0,0,0,0,0,0
20191202,050000,0,47.45,1.85,218.03,401.7,0.79,531.75,428.41,0,0,0,0,0,0,0,0,0,0,0,0,0
20191202,060000,0,203.18,9.25,218.6,2022.4,3.62,567.32,2054.89,0,0,0,0,0,0,0,0,0,0,0,0,0
20191202,070000,0,458.73,19.9,218.63,4351.95,8.11,545.21,4410.06,0,0,0,0,0,0,0,0,0,0,0,0,0
20191202,080000,0,529.78,21.58,217.57,4759.28,9,533.06,4795.85,0,0,0,0,0,0,0,0,0,0,0,0,0
20191202,090000,0,776.43,29.1,218.5,6377.52,12.26,526.5,6458.79,0,0,0,0,0,0,0,0,0,0,0,0,0
20191202,100000,0,596.27,23.28,215.07,5027.68,9.61,528.21,5113.76,0,0,0,0,0,0,0,0,0,0,0,0,0
20191202,110000,0,295.37,12.53,213.09,2664.85,4.96,544.43,2706.05,0,0,0,0,0,0,0,0,0,0,0,0,0
20191202,120000,0,332.15,12.84,216.02,2799.02,5.18,541.17,2840.09,0,0,0,0,0,0,0,0,0,0,0,0,0
20191202,130000,0,165.78,7.03,212.73,1489.92,2.67,562.01,1518.24,0,0,0,0,0,0,0,0,0,0,0,0,0
20191202,140000,0,206.33,8.75,213.65,1871.88,3.35,565.31,1902.77,0,0,0,0,0,0,0,0,0,0,0,0,0
20191202,150000,0,64.58,2.5,212.19,526.72,1.03,533.21,553.88,0,0,0,0,0,0,0,0,0,0,0,0,0
20191202,160000,0,73.95,2.85,213.95,608,1.15,547.38,635.16,0,0,0,0,0,0,0,0,0,0,0,0,0
20191202,170000,0,35.81,1.28,216.53,273.45,0.55,502.56,298.09,0,0,0,0,0,0,0,0,0,0,0,0,0
20191202,180000,0,0,0.09,215.6,0,0,163.16,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0
20191202,190000,0,0,0.09,215.6,0,0,43.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20191202,200000,0,0,0.09,215.6,0,0,43.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20191202,210000,0,0,0.09,215.6,0,0,44.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20191202,220000,0,0,0.09,215.6,0,0,44.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20191202,230000,0,0,0.09,215.6,0,0,44.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0
