dia_mes_ano,hora_minuto,irr_est,irr_inv,I_AC,V_AC,P_AC,I_DC,V_DC,P_DC,massaPM1,numPM1,massaPM2,numPM2,massaPM4,numPM4,massaPM10,numPM10,tamanho_medio,temp,vento_vel,vento_dir,rainfall
20200113,000000,0,0,0.09,212.3,0,0,39.26,0,0.84,6.92,0.03,0.02,0,0,0,0,0.47,23.2,13.62,154.07,0
20200113,010000,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.4,3.34,0.01,0.01,0,0,0,0,0.51,22.59,23.63,114,0
20200113,020000,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.24,2.02,0.01,0.01,0,0,0,0,0.51,21.07,32.55,107.54,0
20200113,030000,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.45,3.71,0.04,0.04,0.02,0,0,0,0.54,20.56,22.17,102.75,0
20200113,040000,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.37,3.06,0.03,0.02,0.01,0,0,0,0.54,18.09,14.43,87.33,0
20200113,050000,1.16,15.68,0.49,216.91,100.94,0.26,497.17,130.26,0.3,2.47,0.01,0.01,0,0,0,0,0.53,20.73,30.21,36.75,0
20200113,060000,47.81,63.32,2.5,216.17,538.63,1.04,542.17,566.62,0.29,2.37,0.01,0.01,0,0,0,0,0.51,21.64,31.24,67.12,0
20200113,070000,127.71,152.15,6.36,215.34,1368.18,2.51,557.35,1400.07,0.42,3.43,0.01,0.01,0,0,0,0,0.52,23.27,16.18,79.83,0
20200113,080000,472.92,479.9,20.02,217.17,4371.3,8.12,551.06,4444.26,0.76,6.29,0.02,0.02,0,0,0,0,0.49,27.07,12.39,161.83,0
20200113,090000,499.7,470.57,19.43,216.35,4212.45,7.95,542.48,4287.4,0.76,6.25,0.02,0.02,0,0,0,0,0.48,27.79,17.76,175.33,0
20200113,100000,238.59,251.43,10.6,214.1,2272.3,4.17,552.9,2307.19,0.78,6.44,0.03,0.02,0,0,0,0,0.45,26.22,11.95,203.17,0
20200113,110000,178.74,203,8.62,214.42,1848.83,3.38,556.9,1883.03,0.95,7.85,0.03,0.02,0,0,0,0,0.47,25.65,13.63,212.83,0
20200113,120000,193.39,226.87,9.5,215.69,2049.73,3.69,564.36,2082.21,1.17,9.68,0.04,0.03,0,0,0,0,0.47,25.22,6.49,98.88,0
20200113,130000,156.81,203.23,8.4,215.08,1806.02,3.29,559.6,1839.64,1.47,12.09,0.05,0.03,0,0,0,0,0.46,25.86,3.81,75.75,0
20200113,140000,210.09,240.92,9.93,215.66,2139.95,3.95,550.76,2177.89,1.45,11.97,0.05,0.03,0,0,0,0,0.45,26.56,3.52,163,0
20200113,150000,173.55,184.05,7.57,215.4,1629.62,3.04,544.74,1661.02,1.57,12.94,0.05,0.04,0,0,0,0,0.45,26.41,6.56,197.25,0
20200113,160000,65.21,77.82,3.09,214.95,661.92,1.28,536.05,688.71,2.21,18.25,0.07,0.05,0,0,0,0,0.45,25.7,3.24,214.5,0
20200113,170000,12.77,23.67,0.83,215.43,176.07,0.4,504.46,202.37,2.85,23.48,0.09,0.06,0,0,0,0,0.46,24.83,0,214.32,0
20200113,180000,0.01,1.52,0.11,214.88,6.12,0.03,261.82,13.69,3.42,28.26,0.11,0.08,0,0,0,0,0.45,23.92,0,221.19,0
20200113,190000,0,0,0.09,214.2,0,0,42.29,0,4.09,33.76,0.14,0.09,0,0,0,0,0.46,21.02,0,222.75,0
20200113,200000,0,0,0.09,214.2,0,0,41.75,0,8.35,68.89,0.28,0.19,0,0,0,0,0.47,23.53,0.31,225,0
20200113,210000,0,0,0.09,214.2,0,0,41.34,0,8.16,67.35,0.27,0.18,0,0,0,0,0.47,23.52,1.02,186,0
20200113,220000,0,0,0.09,214.2,0,0,41.95,0,5.13,42.32,0.17,0.12,0,0,0,0,0.46,23.08,0.38,144.15,0
20200113,230000,0,0,0.09,214.2,0,0,42.29,0,4.94,40.78,0.16,0.11,0,0,0,0,0.45,22.13,0.58,117,0
