dia_mes_ano,hora_minuto,irr_est,irr_inv,I_AC,V_AC,P_AC,I_DC,V_DC,P_DC,massaPM1,numPM1,massaPM2,numPM2,massaPM4,numPM4,massaPM10,numPM10,tamanho_medio,temp,vento_vel,vento_dir,rainfall
20191210,000000,0,0,0.1,215.5,0,0,47.01,0,3.63,29.92,0.12,0.08,0,0,0,0,0.45,-127,0,155.95,0
20191210,010000,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.94,32.52,0.13,0.09,0,0,0,0,0.45,-127,0,135,0
20191210,115800,NaN,493.5,20.4,220.5,4500,8.32,550.45,4579.62,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-Inf
20191210,120000,NaN,767.3,28.23,222.85,6283.4,11.78,542.87,6421.38,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-Inf
20191210,130000,NaN,716.4,27.14,220.03,6000.47,11.56,528.79,6113.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-Inf
20191210,140000,NaN,629.48,24.53,216.07,5341.73,10.27,527.08,5418.63,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-Inf
20191210,150000,NaN,472.52,17.51,214.38,3775.65,7.44,504.05,3777.07,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-Inf
20191210,160000,NaN,247.63,6.04,211.91,1279.2,2.72,504.15,1318.55,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-Inf
20191210,170000,NaN,43.32,1.52,214.01,322.45,0.64,517.12,347.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-Inf
20191210,180000,0,0.15,0.09,212.3,0.05,0.01,219.7,2.41,9.02,74.43,0.3,0.2,0,0,0,0,0.46,25.21,0.2,178.27,0.5
20191210,190000,0,0,0.09,212.2,0,0,41.47,0,7.17,59.18,0.24,0.16,0,0,0,0,0.46,23.69,0,180,0
20191210,200000,0,0,0.09,212.2,0,0,42.53,0,11.73,96.81,0.39,0.27,0,0,0,0,0.47,23.37,0,180,0
20191210,210000,0,0,0.09,212.2,0,0,42.41,0,11.97,98.79,0.4,0.27,0,0,0,0,0.47,22.91,0.05,131.95,0
20191210,220000,0,0,0.09,212.2,0,0,43.46,0,8.82,72.79,0.29,0.2,0,0,0,0,0.46,22.97,0.16,106.78,0
20191210,230000,0,0,0.09,212.2,0,0,43.77,0,7.89,65.11,0.26,0.18,0,0,0,0,0.47,23.05,0,90,0
